t_s,ch,vbus_V,current_A,power_W
3551.135859,0,6.001758,0.0001660,0.0009963
3551.136975,0,6.000586,0.0000620,0.0003720
3551.138032,0,5.995508,-0.0002080,-0.0012471
3551.139090,0,5.998438,-0.0001660,-0.0009957
3551.140206,0,5.995508,-0.0000200,-0.0001199
3551.141263,0,5.997461,0.0000200,0.0001199
3551.142321,0,5.997266,-0.0001860,-0.0011155
3551.143436,0,6.002734,-0.0004780,-0.0028693
3551.144494,0,5.996484,-0.0002280,-0.0013672
3551.145610,0,5.997656,-0.0000620,-0.0003719
3551.146668,0,5.997070,-0.0002080,-0.0012474
3551.147725,0,6.001367,0.0001240,0.0007442
3551.148841,0,6.000977,-0.0001860,-0.0011162
3551.149899,0,6.000586,0.0000400,0.0002400
3551.151014,0,5.999414,0.0000400,0.0002400
3551.152072,0,5.999414,-0.0000200,-0.0001200
3551.153130,0,5.998242,0.0001660,0.0009957
3551.154247,0,5.999219,0.0000620,0.0003720
3551.155305,0,5.997852,0.0004780,0.0028670
3551.156363,0,5.998633,-0.0000200,-0.0001200
3551.157478,0,5.996875,-0.0003540,-0.0021229
3551.158536,0,5.996289,0.0000200,0.0001199
3551.159651,0,6.000781,0.0000820,0.0004921
3551.160709,0,5.997852,-0.0000200,-0.0001200
3551.161767,0,5.997266,-0.0000620,-0.0003718
3551.162882,0,5.997070,-0.0001660,-0.0009955
3551.163941,0,5.997852,-0.0001240,-0.0007437
3551.165000,0,5.997070,-0.0002700,-0.0016192
3551.166116,0,5.998633,-0.0001860,-0.0011157
3551.167174,0,5.999609,0.0000620,0.0003720
3551.168289,0,5.998438,0.0000200,0.0001200
3551.169347,0,5.995898,0.0000620,0.0003717
3551.170405,0,6.002930,0.0003740,0.0022451
3551.171520,0,5.998047,-0.0001860,-0.0011156
3551.172578,0,5.997852,-0.0000200,-0.0001200
3551.173693,0,5.998633,-0.0006040,-0.0036232
3551.174752,0,6.001758,0.0002500,0.0015004
3551.175809,0,5.999414,0.0001660,0.0009959
