t_s,ch,vbus_V,current_A,power_W
3760.058395,0,5.998828,-0.0000460,-0.0002759
3760.190233,0,5.998633,-0.0000400,-0.0002399
3760.322081,0,5.998633,-0.0000260,-0.0001560
3760.453866,0,5.998438,-0.0000440,-0.0002639
3760.585701,0,5.998828,-0.0000580,-0.0003479
3760.717561,0,5.998633,-0.0000640,-0.0003839
3760.849396,0,5.999023,-0.0000440,-0.0002640
3760.981200,0,5.999023,-0.0000760,-0.0004559
3761.113039,0,5.998828,-0.0000720,-0.0004319
3761.245957,0,5.998828,-0.0000360,-0.0002160
3761.376714,0,5.998828,0.0000920,0.0005519
3761.508559,0,5.999023,-0.0000200,-0.0001200
3761.640345,0,5.998828,-0.0000800,-0.0004799
3761.772208,0,5.998828,-0.0000820,-0.0004919
3761.903987,0,5.998633,-0.0000560,-0.0003359
3762.035855,0,5.999023,-0.0000240,-0.0001440
3762.167697,0,5.998828,-0.0000540,-0.0003239
3762.299474,0,5.999023,0.0000600,0.0003599
3762.431307,0,5.998828,-0.0000600,-0.0003599
3762.563147,0,5.999023,-0.0000660,-0.0003959
3762.694982,0,5.998828,-0.0000760,-0.0004559
3762.826823,0,5.998828,-0.0000580,-0.0003479
3762.958634,0,5.998828,-0.0000480,-0.0002879
3763.090449,0,5.999023,-0.0000160,-0.0000960
3763.222282,0,5.998828,-0.0000420,-0.0002520
3763.354131,0,5.998633,-0.0000060,-0.0000360
3763.485967,0,5.998633,-0.0000680,-0.0004079
3763.617781,0,5.999023,-0.0000500,-0.0003000
3763.749614,0,5.998828,-0.0000560,-0.0003359
3763.881452,0,5.998828,-0.0000460,-0.0002759
3764.013291,0,5.998828,-0.0000680,-0.0004079
3764.145124,0,5.998828,-0.0000020,-0.0000120
3764.276948,0,5.999023,-0.0000460,-0.0002760
3764.408784,0,5.999023,-0.0000220,-0.0001320
3764.541331,0,5.999023,-0.0000660,-0.0003959
3764.672424,0,5.999023,-0.0000420,-0.0002520
3764.804261,0,5.999023,-0.0000820,-0.0004919
3764.936069,0,5.999023,-0.0000420,-0.0002520
3765.067919,0,5.998828,-0.0000560,-0.0003359
3765.199766,0,5.999023,-0.0000360,-0.0002160
3765.331542,0,5.999023,0.0001160,0.0006959
3765.463389,0,5.999023,-0.0000480,-0.0002880
3765.595223,0,5.999023,-0.0000560,-0.0003359
3765.727060,0,5.998828,-0.0000640,-0.0003839
3765.858874,0,5.998633,-0.0000460,-0.0002759
3765.990715,0,5.998633,-0.0000820,-0.0004919
3766.122557,0,5.998828,-0.0000560,-0.0003359
3766.254392,0,5.998633,-0.0000640,-0.0003839
3766.386213,0,5.998828,-0.0000480,-0.0002879
3766.518050,0,5.998828,-0.0000260,-0.0001560
3766.651224,0,5.999023,-0.0000940,-0.0005639
3766.781699,0,5.999023,-0.0000560,-0.0003359
3766.913535,0,5.998828,-0.0000680,-0.0004079
3767.045324,0,5.998633,-0.0000280,-0.0001680
3767.177162,0,5.998828,-0.0000380,-0.0002280
3767.308990,0,5.998828,0.0001160,0.0006959
3767.440825,0,5.998633,-0.0000620,-0.0003719
3767.572661,0,5.998828,-0.0000540,-0.0003239
3767.704496,0,5.998828,-0.0000920,-0.0005519
3767.836332,0,5.998633,-0.0000860,-0.0005159
3767.968133,0,5.998633,-0.0000540,-0.0003239
3768.099970,0,5.998633,-0.0000420,-0.0002519
3768.231807,0,5.998828,-0.0000440,-0.0002639
3768.363645,0,5.998828,0.0000260,0.0001560
3768.495487,0,5.998828,-0.0000460,-0.0002759
3768.627325,0,5.998828,-0.0000260,-0.0001560
3768.759122,0,5.998828,-0.0000400,-0.0002400
3768.890959,0,5.998828,-0.0000480,-0.0002879
3769.022807,0,5.998633,-0.0000780,-0.0004679
3769.154590,0,5.998438,-0.0000860,-0.0005159
3769.286422,0,5.998633,-0.0000560,-0.0003359
3769.418282,0,5.998828,-0.0000360,-0.0002160
3769.550122,0,5.998828,-0.0000860,-0.0005159
3769.681941,0,5.998633,-0.0000580,-0.0003479
3769.813778,0,5.999023,-0.0000860,-0.0005159
3769.946754,0,5.998633,-0.0000480,-0.0002879
3770.077396,0,5.998633,-0.0000500,-0.0002999
3770.209234,0,5.999023,-0.0000600,-0.0003599
3770.341094,0,5.998633,0.0001020,0.0006119
3770.472876,0,5.998828,-0.0000760,-0.0004559
3770.604719,0,5.998828,-0.0000800,-0.0004799
3770.736556,0,5.998828,-0.0000560,-0.0003359
3770.868391,0,5.998828,-0.0000620,-0.0003719
3771.000213,0,5.998828,-0.0000660,-0.0003959
3771.132049,0,5.998633,-0.0000560,-0.0003359
3771.263893,0,5.998828,-0.0000700,-0.0004199
3771.395728,0,5.999219,0.0000240,0.0001440
3771.527514,0,5.998828,-0.0000680,-0.0004079
3771.659351,0,5.999023,-0.0000460,-0.0002760
3771.791188,0,5.998633,-0.0000740,-0.0004439
3771.923028,0,5.999023,-0.0000600,-0.0003599
3772.054880,0,5.999023,-0.0000760,-0.0004559
3772.186658,0,5.999023,-0.0000380,-0.0002280
3772.318517,0,5.999023,-0.0000560,-0.0003359
3772.450355,0,5.999023,0.0001040,0.0006239
3772.582192,0,5.998828,-0.0000580,-0.0003479
3772.713974,0,5.999023,-0.0000340,-0.0002040
3772.845810,0,5.998828,-0.0000300,-0.0001800
3772.977668,0,5.998828,-0.0000480,-0.0002879
3773.109502,0,5.998828,-0.0000580,-0.0003479
3773.242104,0,5.998828,-0.0000600,-0.0003599
3773.373168,0,5.999023,0.0000920,0.0005519
3773.505000,0,5.998633,-0.0000600,-0.0003599
3773.636779,0,5.998828,-0.0000680,-0.0004079
3773.768620,0,5.999023,-0.0000560,-0.0003359
3773.900462,0,5.998828,-0.0000520,-0.0003119
3774.032297,0,5.998828,-0.0000780,-0.0004679
3774.164129,0,5.999023,-0.0000600,-0.0003599
3774.295965,0,5.999023,-0.0000840,-0.0005039
3774.427797,0,5.998633,-0.0000200,-0.0001200
3774.559612,0,5.999219,-0.0000400,-0.0002400
3774.691449,0,5.999023,-0.0000520,-0.0003119
3774.823236,0,5.998828,-0.0000700,-0.0004199
3774.955073,0,5.998828,-0.0000700,-0.0004199
3775.086919,0,5.999023,-0.0000380,-0.0002280
3775.218755,0,5.998438,-0.0000560,-0.0003359
3775.352033,0,5.998633,0.0001160,0.0006958
3775.482425,0,5.999219,-0.0000640,-0.0003840
3775.614263,0,5.998828,-0.0000760,-0.0004559
3775.746045,0,5.998828,-0.0000980,-0.0005879
3775.877881,0,5.999219,-0.0001080,-0.0006479
3776.009705,0,5.999023,-0.0000160,-0.0000960
3776.141539,0,5.998828,-0.0000700,-0.0004199
3776.273402,0,5.998828,-0.0000520,-0.0003119
3776.405239,0,5.998633,-0.0000340,-0.0002040
3776.537019,0,5.998828,-0.0000680,-0.0004079
3776.668853,0,5.999023,-0.0000380,-0.0002280
3776.800690,0,5.998828,-0.0000360,-0.0002160
3776.932540,0,5.998633,-0.0000520,-0.0003119
3777.064375,0,5.998828,-0.0000700,-0.0004199
3777.196192,0,5.999219,-0.0000700,-0.0004199
3777.328026,0,5.998828,-0.0000480,-0.0002879
3777.459866,0,5.998828,-0.0000780,-0.0004679
3777.591669,0,5.999023,-0.0000400,-0.0002400
3777.723505,0,5.998828,-0.0000600,-0.0003599
3777.855327,0,5.999023,-0.0000660,-0.0003959
3777.987163,0,5.998828,-0.0000600,-0.0003599
3778.118981,0,5.998633,-0.0000560,-0.0003359
3778.250819,0,5.998828,-0.0000560,-0.0003359
3778.382660,0,5.998633,0.0000100,0.0000600
3778.514462,0,5.998633,-0.0000680,-0.0004079
3778.647536,0,5.998828,-0.0000380,-0.0002280
3778.778167,0,5.999023,-0.0000740,-0.0004439
3778.909945,0,5.998633,-0.0000560,-0.0003359
3779.041800,0,5.998828,-0.0000920,-0.0005519
3779.173639,0,5.998828,-0.0001040,-0.0006239
3779.305475,0,5.998633,-0.0000500,-0.0002999
3779.437316,0,5.999023,0.0001040,0.0006239
3779.569100,0,5.998828,-0.0000440,-0.0002639
3779.700941,0,5.998633,-0.0000240,-0.0001440
3779.832780,0,5.998633,-0.0000620,-0.0003719
3779.964588,0,5.998828,-0.0000580,-0.0003479
3780.096429,0,5.998828,-0.0000760,-0.0004559
3780.228266,0,5.998828,-0.0000120,-0.0000720
3780.360102,0,5.999023,-0.0000740,-0.0004439
3780.491942,0,5.999023,-0.0000400,-0.0002400
3780.623778,0,5.999023,-0.0000680,-0.0004079
3780.755599,0,5.998633,-0.0000540,-0.0003239
3780.887434,0,5.998633,-0.0000600,-0.0003599
3781.019272,0,5.998633,-0.0000400,-0.0002399
3781.151106,0,5.998828,-0.0000380,-0.0002280
3781.282885,0,5.998828,-0.0000600,-0.0003599
3781.414720,0,5.998828,0.0001160,0.0006959
3781.546556,0,5.998633,-0.0000620,-0.0003719
3781.678414,0,5.998828,-0.0000560,-0.0003359
3781.810192,0,5.998633,-0.0000580,-0.0003479
3781.942921,0,5.998828,-0.0000460,-0.0002759
3782.073904,0,5.998828,-0.0000400,-0.0002400
3782.205738,0,5.998633,-0.0000760,-0.0004559
3782.337524,0,5.998828,-0.0000760,-0.0004559
3782.469361,0,5.998828,0.0001320,0.0007918
3782.601211,0,5.999219,-0.0000740,-0.0004439
3782.733045,0,5.998828,-0.0000600,-0.0003599
3782.864827,0,5.999023,-0.0000880,-0.0005279
3782.996664,0,5.998828,-0.0000580,-0.0003479
3783.128504,0,5.998828,-0.0000640,-0.0003839
3783.260350,0,5.999023,-0.0000520,-0.0003119
3783.392181,0,5.998828,-0.0000540,-0.0003239
3783.524013,0,5.999023,-0.0000520,-0.0003119
3783.655848,0,5.999219,-0.0000500,-0.0003000
3783.787654,0,5.998828,-0.0000500,-0.0002999
3783.919486,0,5.998828,-0.0000260,-0.0001560
3784.052817,0,5.998633,-0.0000400,-0.0002399
3784.183156,0,5.998828,-0.0000640,-0.0003839
3784.314989,0,5.998633,-0.0000520,-0.0003119
3784.446820,0,5.999023,0.0000860,0.0005159
3784.578659,0,5.998828,-0.0000520,-0.0003119
3784.710460,0,5.998828,-0.0000300,-0.0001800
3784.842295,0,5.998828,-0.0000460,-0.0002759
3784.974138,0,5.998828,-0.0000660,-0.0003959
3785.105974,0,5.998633,-0.0000520,-0.0003119
3785.237811,0,5.998828,-0.0000380,-0.0002280
3785.369602,0,5.999023,-0.0000420,-0.0002520
3785.501441,0,5.998828,0.0000440,0.0002639
3785.633266,0,5.998828,-0.0000560,-0.0003359
3785.765100,0,5.998828,-0.0000460,-0.0002759
3785.896908,0,5.998828,-0.0000380,-0.0002280
3786.028745,0,5.998828,-0.0000220,-0.0001320
3786.160592,0,5.998828,-0.0000320,-0.0001920
3786.292425,0,5.998828,-0.0000640,-0.0003839
3786.424261,0,5.998828,0.0000800,0.0004799
3786.556084,0,5.998828,-0.0000460,-0.0002759
3786.687920,0,5.998828,-0.0000400,-0.0002400
3786.819728,0,5.999023,-0.0000100,-0.0000600
3786.951562,0,5.998828,-0.0000420,-0.0002520
3787.083384,0,5.998828,-0.0000500,-0.0002999
3787.215225,0,5.998828,-0.0000780,-0.0004679
3787.348303,0,5.999023,-0.0000560,-0.0003359
3787.478876,0,5.998828,-0.0000320,-0.0001920
3787.610713,0,5.998633,-0.0000640,-0.0003839
3787.742511,0,5.998828,-0.0000440,-0.0002639
3787.874348,0,5.998828,-0.0000920,-0.0005519
3788.006192,0,5.999023,-0.0000840,-0.0005039
3788.138028,0,5.998828,-0.0000720,-0.0004319
3788.269872,0,5.998828,-0.0000460,-0.0002759
3788.401649,0,5.999023,-0.0000600,-0.0003599
3788.533485,0,5.999023,-0.0000700,-0.0004199
3788.665349,0,5.999023,-0.0000480,-0.0002880
3788.797186,0,5.999023,-0.0000520,-0.0003119
3788.928964,0,5.999023,-0.0000480,-0.0002880
3789.060801,0,5.998828,-0.0000540,-0.0003239
