t_s,ch,vbus_V,current_A,power_W
3604.840555,0,5.998828,-0.0001020,-0.0006119
3604.972360,0,5.998828,-0.0001340,-0.0008038
3605.104201,0,5.999023,-0.0000840,-0.0005039
3605.236185,0,5.998828,-0.0000020,-0.0000120
3605.367850,0,5.999023,-0.0000480,-0.0002880
3605.499687,0,5.999023,-0.0001260,-0.0007559
3605.631528,0,5.999023,-0.0000600,-0.0003599
3605.763313,0,5.998633,-0.0000280,-0.0001680
3605.895152,0,5.998633,-0.0000640,-0.0003839
3606.026990,0,5.998828,-0.0000980,-0.0005879
3606.158809,0,5.998828,-0.0000620,-0.0003719
3606.290645,0,5.999023,0.0000400,0.0002400
3606.422481,0,5.998828,-0.0000420,-0.0002520
3606.554319,0,5.999219,-0.0000940,-0.0005639
3606.686156,0,5.998633,-0.0001160,-0.0006958
3606.817991,0,5.998633,-0.0000560,-0.0003359
3606.949824,0,5.998828,-0.0001220,-0.0007319
3607.081607,0,5.998828,-0.0000560,-0.0003359
3607.213443,0,5.998828,-0.0000500,-0.0002999
3607.345286,0,5.998633,-0.0000420,-0.0002519
3607.477120,0,5.998828,-0.0000660,-0.0003959
3607.608941,0,5.998828,-0.0000680,-0.0004079
3607.740744,0,5.998633,-0.0000800,-0.0004799
3607.872586,0,5.999023,-0.0000520,-0.0003119
3608.004449,0,5.998828,-0.0000500,-0.0002999
3608.136283,0,5.998633,-0.0001080,-0.0006479
3608.268073,0,5.998828,-0.0001060,-0.0006359
3608.399911,0,5.998828,-0.0000640,-0.0003839
3608.533277,0,5.999023,-0.0000280,-0.0001680
3608.663573,0,5.999023,-0.0000560,-0.0003359
3608.795410,0,5.999023,-0.0000920,-0.0005519
3608.927211,0,5.999023,-0.0000820,-0.0004919
3609.059052,0,5.998633,-0.0001100,-0.0006598
3609.190892,0,5.999023,-0.0000380,-0.0002280
3609.322717,0,5.998633,-0.0000740,-0.0004439
3609.454541,0,5.998828,-0.0000740,-0.0004439
3609.586379,0,5.998633,-0.0000740,-0.0004439
3609.718213,0,5.998828,-0.0000680,-0.0004079
3609.850016,0,5.999023,-0.0000980,-0.0005879
3609.981852,0,5.998828,-0.0000620,-0.0003719
3610.113690,0,5.998828,-0.0000460,-0.0002759
3610.245526,0,5.998633,-0.0000560,-0.0003359
3610.377342,0,5.998828,-0.0000560,-0.0003359
3610.509180,0,5.998828,-0.0000940,-0.0005639
3610.641018,0,5.998633,-0.0000600,-0.0003599
3610.772850,0,5.998633,-0.0000280,-0.0001680
3610.904689,0,5.998828,-0.0000640,-0.0003839
3611.036498,0,5.998633,-0.0000880,-0.0005279
3611.168299,0,5.998828,-0.0000780,-0.0004679
3611.300171,0,5.999219,-0.0000580,-0.0003480
3611.431991,0,5.998828,-0.0000760,-0.0004559
3611.563787,0,5.998828,-0.0000700,-0.0004199
3611.695620,0,5.998828,-0.0001060,-0.0006359
3611.828743,0,5.999023,-0.0001420,-0.0008519
3611.959288,0,5.998828,-0.0000720,-0.0004319
3612.091121,0,5.998828,-0.0000740,-0.0004439
3612.222941,0,5.998633,-0.0000740,-0.0004439
3612.354778,0,5.998828,-0.0000620,-0.0003719
3612.486589,0,5.998633,-0.0000260,-0.0001560
3612.618426,0,5.999219,-0.0000800,-0.0004799
3612.750263,0,5.999219,-0.0000500,-0.0003000
3612.882125,0,5.999023,-0.0001560,-0.0009358
3613.013904,0,5.999023,-0.0001140,-0.0006839
3613.145779,0,5.999023,-0.0000420,-0.0002520
3613.277562,0,5.998438,-0.0000500,-0.0002999
3613.409430,0,5.998633,-0.0000720,-0.0004319
3613.541264,0,5.998828,-0.0000760,-0.0004559
3613.673069,0,5.998438,-0.0000660,-0.0003959
3613.804910,0,5.998242,-0.0000740,-0.0004439
3613.937034,0,5.999023,-0.0000680,-0.0004079
3614.068583,0,5.999023,-0.0000440,-0.0002640
3614.200370,0,5.999023,-0.0000900,-0.0005399
3614.332220,0,5.999023,-0.0000020,-0.0000120
3614.464056,0,5.999219,-0.0000460,-0.0002760
3614.595892,0,5.998633,-0.0001020,-0.0006119
3614.727727,0,5.998828,-0.0000620,-0.0003719
3614.859535,0,5.998633,-0.0000100,-0.0000600
3614.991345,0,5.998828,-0.0000240,-0.0001440
3615.123181,0,5.999023,-0.0000320,-0.0001920
3615.255018,0,5.998633,-0.0001080,-0.0006479
3615.386841,0,5.998828,-0.0000600,-0.0003599
3615.518704,0,5.998828,-0.0000400,-0.0002400
3615.650484,0,5.998828,-0.0000680,-0.0004079
3615.782347,0,5.998828,-0.0000600,-0.0003599
3615.914183,0,5.998828,-0.0000960,-0.0005759
3616.045978,0,5.998828,-0.0000460,-0.0002759
3616.177815,0,5.998633,-0.0000120,-0.0000720
3616.309651,0,5.998828,-0.0000720,-0.0004319
3616.441489,0,5.999219,-0.0000060,-0.0000360
3616.573326,0,5.998828,-0.0001260,-0.0007559
3616.705127,0,5.998633,-0.0000800,-0.0004799
3616.836965,0,5.998633,-0.0000700,-0.0004199
3616.968834,0,5.998828,-0.0000220,-0.0001320
3617.100614,0,5.998828,-0.0000060,-0.0000360
3617.232525,0,5.999023,-0.0000300,-0.0001800
3617.364268,0,5.998828,-0.0000840,-0.0005039
3617.496102,0,5.999023,-0.0000340,-0.0002040
3617.627937,0,5.998828,0.0000080,0.0000480
3617.759769,0,5.998828,-0.0000280,-0.0001680
3617.891632,0,5.998438,-0.0000200,-0.0001200
3618.023412,0,5.998633,-0.0000380,-0.0002279
3618.155255,0,5.998633,-0.0000960,-0.0005759
3618.287091,0,5.998828,-0.0000600,-0.0003599
3618.418930,0,5.998633,-0.0000720,-0.0004319
3618.550781,0,5.999023,-0.0000900,-0.0005399
3618.682560,0,5.998633,-0.0000460,-0.0002759
3618.814395,0,5.998633,-0.0000780,-0.0004679
3618.946232,0,5.999023,-0.0001040,-0.0006239
3619.078072,0,5.998828,-0.0000300,-0.0001800
3619.209908,0,5.998633,-0.0000380,-0.0002279
3619.341714,0,5.999219,-0.0000540,-0.0003240
3619.473554,0,5.998828,-0.0001720,-0.0010318
3619.605391,0,5.998633,-0.0000320,-0.0001920
3619.737199,0,5.999023,-0.0001140,-0.0006839
3619.869036,0,5.998633,-0.0001140,-0.0006838
3620.000880,0,5.998633,-0.0001120,-0.0006718
3620.132713,0,5.999023,-0.0000820,-0.0004919
3620.264553,0,5.998828,-0.0000280,-0.0001680
3620.396390,0,5.998633,-0.0000980,-0.0005879
3620.529634,0,5.999023,-0.0000500,-0.0003000
3620.660043,0,5.999219,0.0000320,0.0001920
3620.791845,0,5.999219,-0.0001500,-0.0008999
3620.923649,0,5.998633,-0.0000700,-0.0004199
3621.055486,0,5.998633,-0.0000720,-0.0004319
3621.187341,0,5.998633,-0.0000200,-0.0001200
3621.319175,0,5.999023,-0.0000240,-0.0001440
3621.450998,0,5.998828,-0.0000420,-0.0002520
3621.582834,0,5.998828,-0.0000580,-0.0003479
3621.714671,0,5.998633,-0.0000680,-0.0004079
