t_s,current_A_mean,current_A_max,vbus_V_min
0,0.00003529,0.001505,6.3115
1,0.00002438,0.000791,6.3119
2,0.00002518,0.000999,6.3123
3,0.00003135,0.001505,6.3133
4,0.00001885,0.001729,6.3150
5,0.00003434,0.001187,6.3150
6,0.00003902,0.001885,6.3113
7,0.00003233,0.000775,6.3123
8,0.00003174,0.000947,6.3129
9,0.00002234,0.001145,6.3131
10,0.00002520,0.001749,6.3150
11,0.00002261,0.000863,6.3115
12,0.00002954,0.001333,6.3143
13,0.00002969,0.001041,6.3125
14,0.00002446,0.001113,6.3154
15,0.00002774,0.001687,6.3133
16,0.00003458,0.000613,6.3131
17,0.00002710,0.000843,6.3125
18,0.00001927,0.001233,6.3143
19,0.00003495,0.001573,6.3141
20,0.00003255,0.000963,6.3135
21,0.00002902,0.001139,6.3127
22,0.00002695,0.001369,6.3139
23,0.00002532,0.000639,6.3135
24,0.00001732,0.001171,6.3137
25,0.00001698,0.001609,6.3111
26,0.00003265,0.001493,6.3137
27,0.00002922,0.000739,6.3135
28,0.00002438,0.001217,6.3125
29,0.00002458,0.001761,6.3150
30,0.00002527,0.001229,6.3119
31,0.00002774,0.001713,6.3164
32,0.00002102,0.000937,6.3119
33,0.00001766,0.001323,6.3152
34,0.00004366,0.001577,6.3146
35,0.00002558,0.000999,6.3123
36,0.00002434,0.001275,6.3139
37,0.00002008,0.001031,6.3137
38,0.00002720,0.001073,6.3148
39,0.00002663,0.000911,6.3148
40,0.00002724,0.001233,6.3133
41,0.00002786,0.001337,6.3160
42,0.00003006,0.001213,6.3146
43,0.00003335,0.001693,6.3143
44,0.00003034,0.001755,6.3164
45,0.00002774,0.001515,6.3146
46,0.00003868,0.001229,6.3152
47,0.00002590,0.001329,6.3152
48,0.00002715,0.001249,6.3129
49,0.00003646,0.001411,6.3143
50,0.00003629,0.001441,6.3137
51,0.00003381,0.001749,6.3146
52,0.00002809,0.001229,6.3125
53,0.00002605,0.001155,6.3135
54,0.00003441,0.001749,6.3145
55,0.00002848,0.001207,6.3123
56,0.00002653,0.001155,6.3129
57,0.00002155,0.000885,6.3109
58,0.00002863,0.001051,6.3125
59,0.00001873,0.001219,6.3137
60,0.00001784,0.000889,6.3127
61,0.00003275,0.001373,6.3139
62,0.00002561,0.001375,6.3119
63,0.00002582,0.001233,6.3139
64,0.00002298,0.001103,6.3154
65,0.00003014,0.001157,6.3146
66,0.00003060,0.000817,6.3143
67,0.00002791,0.001551,6.3139
68,0.00004154,0.001525,6.3146
69,0.00002080,0.000759,6.3131
70,0.00002181,0.001051,6.3152
71,0.00002851,0.000953,6.3143
72,0.00002608,0.001583,6.3121
73,0.00002278,0.001259,6.3141
74,0.00002345,0.000593,6.3129
75,0.00002105,0.000737,6.3133
76,0.00003614,0.001415,6.3156
77,0.00003808,0.001619,6.3148
78,0.00002562,0.001055,6.3131
79,0.00002596,0.001323,6.3143
80,0.00003275,0.001891,6.3164
81,0.00002303,0.000843,6.3131
82,0.00003080,0.001201,6.3137
83,0.00002792,0.001071,6.3137
84,0.00001342,0.001009,6.3129
85,0.00002574,0.001597,6.3156
86,0.00003090,0.001577,6.3156
87,0.00002787,0.001239,6.3150
88,0.00002445,0.000895,6.3139
89,0.00002824,0.001207,6.3137
90,0.00002648,0.001703,6.3158
91,0.00002270,0.001521,6.3152
92,0.00002752,0.001245,6.3145
93,0.00002201,0.001291,6.3146
94,0.00002814,0.000847,6.3141
95,0.00003380,0.001485,6.3152
96,0.00003991,0.001849,6.3150
97,0.00003166,0.001197,6.3146
98,0.00002834,0.000889,6.3141
99,0.00003071,0.001483,6.3145
100,0.00002092,0.000805,6.3131
101,0.00003227,0.001567,6.3139
102,0.00002224,0.001255,6.3137
103,0.00003851,0.001469,6.3139
104,0.00002480,0.000993,6.3137
105,0.00003303,0.001813,6.3158
106,0.00002841,0.001363,6.3150
107,0.00003214,0.001567,6.3152
108,0.00003710,0.001635,6.3150
109,0.00002255,0.000769,6.3139
110,0.00003621,0.001281,6.3150
111,0.00003073,0.001213,6.3141
112,0.00003344,0.001123,6.3137
113,0.00002103,0.001229,6.3152
114,0.00004451,0.001271,6.3152
115,0.00002900,0.001035,6.3148
116,0.00001713,0.001009,6.3131
117,0.00001596,0.001135,6.3129
118,0.00003895,0.001781,6.3154
119,0.00003295,0.001333,6.3146
120,0.00001344,0.001323,6.3141
121,0.00002861,0.001347,6.3145
122,0.00002614,0.001359,6.3146
123,0.00003159,0.001233,6.3141
124,0.00003166,0.001583,6.3141
125,0.00003525,0.000659,6.3152
126,0.00002283,0.001337,6.3145
127,0.00003018,0.001895,6.3156
128,0.00001962,0.000927,6.3129
129,0.00003118,0.001667,6.3150
130,0.00002658,0.000811,6.3137
131,0.00003991,0.001353,6.3143
132,0.00003621,0.001729,6.3158
133,0.00002487,0.001389,6.3150
134,0.00003676,0.002313,6.3145
135,0.00002426,0.001347,6.3137
136,0.00003592,0.001275,6.3145
137,0.00002619,0.001369,6.3139
138,0.00004132,0.001801,6.3139
139,0.00001750,0.000613,6.3135
140,0.00001355,0.001087,6.3160
141,0.00004288,0.001485,6.3170
142,0.00003293,0.001863,6.3150
143,0.00003381,0.001895,6.3137
144,0.00003083,0.001347,6.3145
145,0.00002675,0.001323,6.3145
146,0.00003201,0.001803,6.3129
147,0.00003579,0.001457,6.3146
148,0.00002383,0.000963,6.3129
149,0.00003221,0.001807,6.3170
150,0.00002245,0.001389,6.3154
151,0.00004130,0.001625,6.3154
152,0.00002329,0.000821,6.3139
