t_s,current_A,vbus_V
0.005582,-0.000101,6.3197
0.014023,-0.000043,6.3193
0.022404,-0.000111,6.3199
0.030848,0.000025,6.3197
0.039235,0.000039,6.3205
0.047679,0.000045,6.3191
0.056065,0.000055,6.3201
0.064504,-0.000017,6.3199
0.072885,0.000071,6.3199
0.081329,0.000039,6.3197
0.089721,-0.000011,6.3199
0.098167,-0.000049,6.3205
0.106550,0.000155,6.3209
0.114993,-0.000013,6.3205
0.123431,0.000039,6.3203
0.131813,0.000003,6.3203
0.140257,0.000019,6.3201
0.148644,0.000045,6.3195
0.157089,0.000019,6.3205
0.165473,0.000071,6.3195
0.173914,0.000023,6.3203
0.182295,0.000009,6.3193
0.190743,0.000009,6.3197
0.199129,0.000045,6.3205
0.207572,-0.000033,6.3201
0.215955,-0.000017,6.3186
0.224394,-0.000011,6.3207
0.232778,-0.000007,6.3209
0.241226,0.000077,6.3205
0.249616,-0.000033,6.3199
0.259454,0.000009,6.3209
0.267700,0.000055,6.3199
0.274887,0.000077,6.3209
0.283268,-0.000049,6.3197
0.291714,0.000107,6.3195
0.300100,0.000019,6.3201
0.308546,0.000113,6.3205
0.316932,0.000149,6.3195
0.325373,0.000123,6.3187
0.333753,0.000009,6.3205
0.342200,0.000057,6.3191
0.350587,-0.000075,6.3203
0.359031,0.000145,6.3201
0.367416,0.001239,6.3162
0.375862,-0.000043,6.3201
0.384246,0.000035,6.3197
0.392686,-0.000013,6.3191
0.401073,-0.000099,6.3187
0.409523,0.000039,6.3203
0.417907,0.000039,6.3201
0.426353,-0.000001,6.3189
0.434736,-0.000049,6.3199
0.443176,0.000045,6.3203
0.451566,0.000113,6.3189
0.460014,0.000035,6.3205
0.468401,-0.000069,6.3201
0.476844,0.000101,6.3199
0.485287,0.000019,6.3203
0.493668,0.000025,6.3199
0.502114,-0.000017,6.3195
0.510502,0.000061,6.3199
0.518946,0.000009,6.3207
0.527330,-0.000033,6.3203
0.535772,0.000051,6.3197
0.544154,-0.000053,6.3207
0.552600,-0.000059,6.3199
0.561121,0.000033,6.3203
0.570985,0.000149,6.3205
0.577816,-0.000069,6.3201
0.586257,-0.000053,6.3197
0.594639,0.000013,6.3211
0.603080,0.000093,6.3197
0.611468,-0.000007,6.3195
0.619916,0.000035,6.3199
0.628302,0.000111,6.3193
0.636746,0.000123,6.3199
0.645127,-0.000085,6.3211
0.653565,-0.000107,6.3199
0.661953,0.000033,6.3201
0.670398,0.000085,6.3207
0.678786,0.000139,6.3203
0.687228,-0.000089,6.3189
0.695615,-0.000037,6.3199
0.704053,-0.000013,6.3195
0.712443,0.000025,6.3193
0.720889,-0.000059,6.3207
0.729274,0.000045,6.3193
0.737724,-0.000059,6.3209
0.746108,-0.000017,6.3199
0.754546,0.000025,6.3199
0.762939,-0.000085,6.3211
0.771387,0.000051,6.3205
0.779775,-0.000095,6.3195
0.788220,0.000139,6.3201
0.796610,-0.000023,6.3209
0.805049,0.000227,6.3199
0.813432,0.000015,6.3197
0.821882,0.000071,6.3201
0.830269,0.000039,6.3199
0.838711,0.000081,6.3211
0.847098,0.000055,6.3203
0.855540,-0.000091,6.3207
0.864419,-0.000017,6.3205
0.872369,0.000039,6.3213
0.880756,0.000075,6.3205
0.889199,0.000129,6.3197
0.897583,0.000077,6.3207
0.906023,0.000097,6.3197
0.914403,0.000019,6.3187
0.922848,0.000025,6.3191
0.931238,-0.000017,6.3203
0.939685,-0.000049,6.3195
0.948069,-0.000001,6.3201
0.956510,0.000043,6.3203
0.964893,-0.000089,6.3205
0.973339,0.000055,6.3195
0.981781,0.000067,6.3189
0.990167,0.000091,6.3201
0.998608,0.000091,6.3205
1.006991,0.000169,6.3201
1.015430,-0.000007,6.3203
1.023812,0.000169,6.3203
1.032261,-0.000011,6.3207
1.040650,0.000035,6.3213
1.049096,0.000025,6.3201
1.057479,-0.000085,6.3195
1.065918,0.000071,6.3197
1.074302,0.000039,6.3197
1.082751,0.000253,6.3193
1.091138,0.000227,6.3203
1.099583,0.000065,6.3193
1.107967,0.006015,6.3010
1.116410,0.000051,6.3195
1.124793,-0.000017,6.3191
1.133242,-0.000007,6.3189
1.141628,0.000399,6.3195
1.150072,0.000295,6.3189
1.159558,0.000205,6.3193
1.167806,0.000175,6.3182
1.175280,0.000039,6.3203
1.183728,0.000267,6.3182
1.192115,0.000133,6.3186
1.200559,0.000253,6.3176
1.208943,0.000321,6.3195
1.217387,0.000347,6.3178
1.225767,0.000165,6.3195
1.234206,0.000221,6.3189
1.242648,0.000293,6.3174
1.251036,0.000169,6.3189
1.259482,0.000477,6.3180
1.267868,0.000081,6.3191
1.276310,0.000175,6.3180
1.284692,0.000435,6.3186
1.293139,0.000201,6.3187
1.301525,0.000653,6.3180
1.309968,0.000201,6.3191
1.318352,0.000175,6.3184
1.326790,0.000799,6.3199
1.335171,0.000263,6.3186
1.343619,0.000525,6.3195
1.352003,0.000145,6.3191
1.360446,0.000241,6.3199
1.368831,0.000707,6.3158
1.377273,0.001327,6.3176
1.385656,0.000185,6.3166
1.394102,0.000077,6.3189
1.402492,0.000357,6.3193
1.410939,0.000243,6.3172
1.419323,0.000321,6.3189
1.427763,0.000087,6.3166
1.436144,0.000289,6.3191
1.444588,0.000195,6.3178
1.452978,0.000399,6.3176
1.462829,0.000139,6.3189
1.471074,0.000451,6.3187
1.478250,0.000055,6.3193
1.486691,0.000185,6.3199
1.495073,0.000503,6.3184
1.503517,0.000165,6.3191
